Zip,Slab 1 - Medical Tax Credit V2,Slab 2 - Medical Tax Credit V2,Slab 3 - Medical Tax Credit V2,Slab 4 - Medical Tax Credit V2,Slab 5 - Medical Tax Credit V2,Slab 6 - Medical Tax Credit V2,Total Medical Tax Credit V2
97361,0.008639309,0.010799136,0.004319654,0,0,0,0.023758099
97362,0,0.020512821,0,0,0,0,0.020512821
97364,0,0,0,0,0,0,0
97365,0.023255814,0.023255814,0.011627907,0,0,0,0.058139535
97366,0.024096386,0.036144578,0,0,0,0,0.060240964
97367,0.021008403,0.021008403,0.010504202,0,0,0,0.052521008
97368,0.023076923,0.030769231,0,0,0,0,0.053846154
97369,0,0,0,0,0,0,0
97370,0.014218009,0.018957346,0.009478673,0,0,0,0.042654028
97371,0,0,0,0,0,0,0
97374,0.013157895,0.013157895,0,0,0,0,0.026315789
97375,0.035714286,0,0,0,0,0,0.035714286
97376,0,0.072727273,0,0,0,0,0.072727273
97377,0,0,0,0,0,0,0
97378,0.014035088,0.010526316,0.007017544,0,0,0,0.031578947
97380,0,0.044444444,0,0,0,0,0.044444444
97381,0.011065007,0.015214385,0.005532503,0.002766252,0,0,0.034578147
97383,0.008888889,0.015555556,0,0,0,0,0.024444444
97385,0,0.030864198,0,0,0,0,0.030864198
97386,0.017241379,0.01532567,0.007662835,0,0,0,0.040229885
97388,0.040816327,0,0,0,0,0,0.040816327
97389,0.025316456,0,0,0,0,0,0.025316456
97390,0,0,0,0,0,0,0
97391,0.018018018,0.022522523,0.009009009,0,0,0,0.04954955
97392,0.011673152,0.019455253,0.007782101,0,0,0,0.038910506
97394,0.029535865,0.025316456,0.012658228,0,0,0,0.067510549
97396,0,0.020833333,0,0,0,0,0.020833333
97401,0.016111708,0.01396348,0.003759398,0.002685285,0,0,0.036519871
97402,0.017312448,0.018961253,0.005358615,0.002473207,0,0,0.044105523
97403,0.016990291,0.012135922,0.004854369,0,0,0,0.033980583
97404,0.017358958,0.017978921,0.006199628,0.001859888,0.001859888,0,0.045257285
97405,0.021076233,0.01793722,0.005829596,0.001793722,0.001793722,0,0.048430493
97408,0.012345679,0.012345679,0.00462963,0,0,0,0.029320988
97410,0,0,0,0,0,0,0
97411,0.03058104,0.021406728,0.012232416,0,0,0,0.064220183
97412,0,0,0,0,0,0,0
97413,0,0,0,0,0,0,0
97415,0.027067669,0.019548872,0.006015038,0.003007519,0,0,0.055639098
97416,0,0,0,0,0,0,0
97417,0.034090909,0,0,0,0,0,0.034090909
97419,0.051724138,0,0,0,0,0,0.051724138
97420,0.017953321,0.017953321,0.005385996,0.001795332,0,0,0.043087971
97423,0.020979021,0.027972028,0,0,0,0,0.048951049
97424,0.015789474,0.015789474,0.006578947,0.002631579,0,0,0.040789474
97426,0.018018018,0.018018018,0.009009009,0,0,0,0.045045045
97429,0,0,0,0,0,0,0
97430,0,0,0,0,0,0,0
97431,0.040816327,0,0,0,0,0,0.040816327
97434,0,0,0,0,0,0,0
97435,0.044444444,0,0,0,0,0,0.044444444
97436,0.055555556,0,0,0,0,0,0.055555556
97437,0.026315789,0.026315789,0,0,0,0,0.052631579
97438,0,0,0,0,0,0,0
97439,0.027496382,0.020260492,0.005788712,0.002894356,0,0,0.056439942
97441,0,0,0,0,0,0,
97442,0.054054054,0,0,0,0,0,0.054054054
97443,0.02970297,0,0,0,0,0,0.02970297
97444,0.03255814,0.023255814,0.009302326,0,0,0,0.065116279
97446,0.008810573,0.013215859,0,0,0,0,0.022026432
97447,0,0,0,0,0,0,0
97448,0.015873016,0.017636684,0.008818342,0,0,0,0.042328042
97449,0.025316456,0.037974684,0,0,0,0,0.063291139
97450,0.1,0,0,0,0,0,0.1
97451,0,0,0,0,0,0,0
97452,0.041666667,0,0,0,0,0,0.041666667
97453,0,0,0,0,0,0,0
97454,0,0.04,0,0,0,0,0.04
97455,0,0.032258065,0,0,0,0,0.032258065
97456,0.0234375,0.0234375,0,0,0,0,0.046875
97457,0.012722646,0.015267176,0,0,0,0,0.027989822
97458,0.022346369,0.033519553,0,0,0,0,0.055865922
97459,0.014040562,0.014040562,0.00624025,0.003120125,0,0,0.037441498
97461,0,0,0,0,0,0,0
97462,0.018867925,0.031446541,0,0,0,0,0.050314465
97463,0.027777778,0.020833333,0,0,0,0,0.048611111
97465,0.047058824,0.047058824,0,0,0,0,0.094117647
97466,0,0,0,0,0,0,0
97467,0.018691589,0.018691589,0.009345794,0,0,0,0.046728972
97469,0.020408163,0,0,0,0,0,0.020408163
97470,0.013651877,0.013651877,0.005688282,0,0,0,0.032992036
